,acrididae_1,acrididae_2,acrididae_3,acrididae_4,acrididae_5,acrididae_6,afidio_1,afidio_2,afidio_3,afidio_4,alydidae_1,alydidae_2,ascalaphidae_1,ceratopogonidae_1,chalcidoidea_1,chrysomelidae_1,chrysomelidae_2,chrysomelidae_3,chrysomelidae_4,cicadellidae_1,cicadellidae_2,coccinellidae_1,coccoidea_1,coccoidea_2,coccoidea_3,coptopterygidae_1,coptopterygidae_2,coptopterygidae_3,cupedidae_1,curculionoidea_1,ensifera_2,ensifera_3,gryllidae_1,hemiptera_1,hemiptera_4,heteronemiidae_1,heteronemiidae_2,lagarta_1,lagarta_2,lagarta_3,lagarta_4,lagarta_5,mantispidae_1,mariposa_1,nabidae_1,nymphalidae_1,pentatomidae_1,pentatomidae_2,pentatomidae_3,photinaidae_1,pieridae_1,proscopiidae_1,proscopiidae_2,proscopiidae_3,reduviidae_1,reduviidae_2,romaleidae_1,romaleidae_2,romaleidae_3,staphylinidae_1,tenebrionidae_1,tettigoniidae_1,tettigoniidae_2,tettigoniidae_3,tettigoniidae_4,thespidae_1,thespidae_2,thespidae_3,vatidae_1,vatidae_2,vespidae_1,vespoidea_1
CocVit,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,5,1,0,1,0,0,0,0,0,0,27,0,7,1,0,0,0,1,0,0,1
AnaCol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0
SebMac,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,0,6,1,0,0,1,0,0,0,0,1,11,0,5,0,0,0,0,0,0,0,0
PoiGar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
AmbCea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0
CynHas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PseMar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,9,0,4,0,0,0,0,0,0,0,0
ComLep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,2,0,0,5,0,0,1,1,0,1,27,2,1,0,0,0,0,2,0,0,0
HanImp,0,0,0,1,0,0,0,0,0,18,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,1,0,0,0,0,0
ZizJoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
