,acrididae_2,afidio_2,afidio_3,alydidae_2,ceratopogonidae_1,chrysomelidae_1,coccinellidae_1,coccoidea_1,coccoidea_2,coptopterygidae_2,cupedidae_1,nymphalidae_1,pentatomidae_3,photinaidae_1,proscopiidae_1,proscopiidae_2,proscopiidae_3,reduviidae_1,reduviidae_2,romaleidae_2,tettigoniidae_1,vatidae_1,vespidae_2
Cochlospermum vitifolium,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,7,0,1
Anadenanthera colubrina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Sebastiania macrocarpa,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0
Poincianella pyramidalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Amburana cearensis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cynophalla hastata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudobombax marginatum,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
Commiphora leptophloeos,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0
Handroanthus impetiginosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Ziziphus joazeiro,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Piptadenia stipulacea,0,0,0,0,69,1,0,0,0,0,0,0,0,1,3,1,1,0,0,0,6,0,0
Mimosa tenuiflora,0,0,3,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,1,1,5,0,0
Libidibia ferrea,0,8,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
Combretum leprosum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
Bauhinia cheilantha,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Aspidosperma pyrifolium,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
