,acrididae_1,acrididae_2,acrididae_3,alydidae_1,chrysomelidae_1,chrysomelidae_2,chrysomelidae_4,cicadellidae_2,coccoidea_1,coccoidea_2,coptopterygidae_2,coptopterygidae_3,curculionoidea_1,heteronemiidae_1,lagarta_1,mantispidae_1,mariposa_1,nabidae_1,nymphalidae_1,pentatomidae_1,photinaidae_1,pieridae_1,proscopiidae_1,proscopiidae_2,proscopiidae_3,reduviidae_1,reduviidae_2,romaleidae_3,staphylinidae_1,tenebrionidae_1,tettigoniidae_1,tettigoniidae_2,thespidae_1,thespidae_3,vatidae_1
Cochlospermum vitifolium,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0
Anadenanthera colubrina,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebastiania macrocarpa,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Poincianella pyramidalis,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
Amburana cearensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cynophalla hastata,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudobombax marginatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
Commiphora leptophloeos,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0
Handroanthus impetiginosus,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ziziphus joazeiro,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0
Piptadenia stipulacea,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,8,3,2,1,0,0,0,2,14,0,1,0,2
Mimosa tenuiflora,0,0,1,0,1,0,1,0,4,5,1,0,0,0,0,1,0,0,0,1,1,0,8,0,4,0,0,0,0,0,34,0,0,0,1
Libidibia ferrea,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0
Combretum leprosum,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,1,0,0,0
Bauhinia cheilantha,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Aspidosperma pyrifolium,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
