,acrididae_1,acrididae_5,afidio_1,afidio_4,ascalaphidae_1,chrysomelidae_1,cicadellidae_1,coccoidea_1,coccoidea_2,coccoidea_3,coptopterygidae_1,heteronemiidae_2,lagarta_4,mantispidae_1,nabidae_1,nymphalidae_1,photinaidae_1,proscopiidae_1,proscopiidae_2,proscopiidae_3,reduviidae_1,romaleidae_3,tenebrionidae_1,tettigoniidae_1,tettigoniidae_2,vespidae_1
Cochlospermum vitifolium,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
Anadenanthera colubrina,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sebastiania macrocarpa,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0
Poincianella pyramidalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Amburana cearensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cynophalla hastata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudobombax marginatum,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commiphora leptophloeos,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0
Handroanthus impetiginosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Ziziphus joazeiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piptadenia stipulacea,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,7,0,0
Mimosa tenuiflora,0,0,0,2,0,0,0,7,3,0,0,0,1,0,0,0,0,3,2,0,1,0,0,1,0,0
Libidibia ferrea,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Combretum leprosum,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,5,0,0
Bauhinia cheilantha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
Aspidosperma pyrifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
