,acrididae_1,acrididae_4,coccoidea_1,coleoptera_1,coleoptera_11,coleoptera_13,coleoptera_3,coleoptera_8,coleoptera_9,hemiptera_7,hemiptera_8,hymenoptera_2,hymenoptera_4,lepdoptera_5,lepdoptera_6,lepdoptera_7,lepdoptera_8,mantodea_1,orthoptera_10,orthoptera_15,orthoptera_17,orthoptera_2,orthoptera_20,orthoptera_21,orthoptera_22,orthoptera_3,orthoptera_4,orthoptera_6,phasmatodea_2,phasmatodea_3,proscopiidae_1,reduviidae_1,romaleidae_3,tenebrionidae_1,tettigoniidae_1,tettigoniidae_2
Cochlospermum vitifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,1,9,0,0,0,0,1
Anadenanthera colubrina,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,4,1,1,1,0,0,0,0,10,0,0,0,0,0
Sebastiania macrocarpa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0
Poincianella pyramidalis,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,1,0,0,0,0,0,5,0,2,0,1,0
Amburana cearensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cynophalla hastata,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0
Pseudobombax marginatum,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,1,0,0,0
Commiphora leptophloeos,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,33,0,1,0,0,1,0,0,19,0,1,0,0,1
Handroanthus impetiginosus,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,11,0,0,0,1,0,0,0,0,0,0,0,0,0
Ziziphus joazeiro,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0
Piptadenia stipulacea,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,6,1,5,1,0,0,0,0,44,0,0,0,0,0
Mimosa tenuiflora,1,0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,0,17,3,3,0,0,0,1,0,78,0,1,1,3,0
Libidibia ferrea,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,13,0,0,0,0,0
Combretum leprosum,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0
Bauhinia cheilantha,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0
Aspidosperma pyrifolium,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,1,1,0,0,0
