,acrididae_1,acrididae_4,acrididae_6,ascia_monuste,chrysomelidae_1,chrysomelidae_2,chrysomelidae_4,coccoidea_1,coleoptera_1,coleoptera_12,coleoptera_14,coleoptera_2,coleoptera_4,coleoptera_5,coleoptera_8,coptopterygidae_1,diptera_1,diptera_2,diptera_3,diptera_6,hemiptera_1,hemiptera_3,hemiptera_5,hemiptera_7,homoptera_1,homoptera_3,homoptera_5,homoptera_6,homoptera_7,homoptera_8,hymenoptera_2,hymenoptera_3,hymenoptera_5,lepdoptera_2,lepdoptera_4,mantodea_1,nabidae_1,odonata_1,orthoptera_11,orthoptera_13,orthoptera_14,orthoptera_15,orthoptera_16,orthoptera_17,orthoptera_19,orthoptera_2,orthoptera_20,orthoptera_21,orthoptera_22,orthoptera_3,orthoptera_4,orthoptera_5,orthoptera_6,phasmatodea_1,phasmatodea_2,phasmatodea_3,photinaidae_1,proscopiidae_1,reduviidae_1,reduviidae_2,romaleidae_3,tettigoniidae_1,tettigoniidae_2
Cochlospermum vitifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,28,0,5,0,0,0,0,0,0,0,0,42,0,0,2,0,3
Anadenanthera colubrina,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,8,0,1,0,0,0
Sebastiania macrocarpa,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Poincianella pyramidalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Amburana cearensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cynophalla hastata,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,5,0,1,0,0,0,0,0,0,0,0,15,0,0,1,0,0
Pseudobombax marginatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0
Commiphora leptophloeos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,1,0,1,1,0,0,2,26,1,4,0,0,0,0,0,0,0,0,23,1,0,1,3,0
Handroanthus impetiginosus,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,34,0,0,0,0,0,0,0,0,1,0,7,1,0,1,4,0
Ziziphus joazeiro,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,0,1,2,0,0,1,0,1,0,0,5,0,0,12,0,3
Piptadenia stipulacea,3,0,1,0,0,0,0,0,0,0,0,0,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,35,17,4,0,1,0,1,0,0,0,2,160,0,0,5,0,1
Mimosa tenuiflora,4,0,1,0,0,0,1,10,4,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,71,7,13,0,1,1,0,1,1,0,1,313,5,1,3,10,0
Libidibia ferrea,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,28,0,4,0,0,0,0,0,0,0,0,36,0,0,0,1,0
Combretum leprosum,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0
Bauhinia cheilantha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0
Aspidosperma pyrifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0
