,acrididae_1,acrididae_6,ascia_monuste,blattodea_1,chrysomelidae_1,coccoidea_1,coleoptera_1,coleoptera_2,coleoptera_6,coleoptera_7,coleoptera_8,diptera_1,diptera_2,hemiptera_2,hemiptera_6,hymenoptera_1,hymenoptera_2,hymenoptera_3,hymenoptera_5,lepdoptera_3,lepdoptera_9,mantodea_1,odonata_1,orthoptera_11,orthoptera_15,orthoptera_16,orthoptera_2,orthoptera_20,orthoptera_21,orthoptera_22,orthoptera_5,orthoptera_6,phasmatodea_1,photinaidae_1,proscopiidae_1,reduviidae_1,reduviidae_2,romaleidae_3,tenebrionidae_1,tettigoniidae_1,tettigoniidae_2
Cochlospermum vitifolium,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,15,2,1,0,0,0,0,16,0,0,2,0,0,1
Anadenanthera colubrina,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,9,0,0,1,1,0,0
Sebastiania macrocarpa,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Poincianella pyramidalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
Amburana cearensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cynophalla hastata,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudobombax marginatum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,2,0,0,0,0,1,2
Commiphora leptophloeos,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,29,0,2,0,0,0,0,38,0,0,0,1,0,0
Handroanthus impetiginosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,10,0,1,1,0,0,0,1,0,0,0,0,0,0
Ziziphus joazeiro,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,4,0,0,3,0,1,0
Piptadenia stipulacea,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,16,4,2,0,0,0,0,77,0,0,0,0,1,0
Mimosa tenuiflora,1,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,69,6,1,1,0,1,0,251,2,1,5,0,3,2
Libidibia ferrea,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,7,0,1,0,0,0,0,18,0,0,0,0,0,0
Combretum leprosum,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
Bauhinia cheilantha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0
Aspidosperma pyrifolium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0
