,acrididae_1,coleoptera_1,coleoptera_2,coleoptera_8,coptopterygidae_3,diptera_3,hemiptera_5,hymenoptera_2,hymenoptera_3,hymenoptera_4,mantodea_1,orthoptera_10,orthoptera_15,orthoptera_2,orthoptera_20,orthoptera_21,orthoptera_22,orthoptera_3,orthoptera_4,orthoptera_5,orthoptera_6,phasmatodea_2,phasmatodea_3,proscopiidae_1,reduviidae_1,romaleidae_3,tenebrionidae_1,tettigoniidae_1,tettigoniidae_2
Cochlospermum vitifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,1,0,0,0
Anadenanthera colubrina,0,0,0,0,0,0,0,4,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Sebastiania macrocarpa,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8,0,2,0,0,0,0,0,0,2,0,0,0,2,0
Poincianella pyramidalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amburana cearensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cynophalla hastata,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Pseudobombax marginatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commiphora leptophloeos,0,0,0,1,0,0,0,0,0,0,0,1,0,1,11,0,2,0,0,0,0,0,0,7,0,0,0,1,0
Handroanthus impetiginosus,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ziziphus joazeiro,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,1,0,1,0,1,0,0,0
Piptadenia stipulacea,0,0,0,1,0,0,1,1,1,0,0,0,2,1,13,8,8,1,0,0,1,0,0,73,0,0,1,1,1
Mimosa tenuiflora,0,5,1,2,0,0,0,1,0,0,0,0,0,1,24,5,4,0,1,1,0,0,0,81,1,1,0,0,0
Libidibia ferrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,9,0,0,0,0,0
Combretum leprosum,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,5,1,0,0,0,0
Bauhinia cheilantha,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Aspidosperma pyrifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
