species,guild
CocVit,plant
AnaCol,plant
SebMac,plant
PoiGar,plant
AmbCea,plant
CynHas,plant
PseMar,plant
ComLep,plant
HanImp,plant
ZizJoa,plant
PipSti,plant
MimTen,plant
LibFer,plant
CombLep,plant
BauChe,plant
AspPyr,plant
acrididae_1,insect
acrididae_4,insect
acrididae_6,insect
Ascia_monuste,insect
blattodea_1,insect
chrysomelidae_1,insect
chrysomelidae_2,insect
chrysomelidae_4,insect
coccoidea_1,insect
coleoptera_1,insect
coleoptera_10,insect
coleoptera_11,insect
coleoptera_12,insect
coleoptera_13,insect
coleoptera_14,insect
coleoptera_2,insect
coleoptera_3,insect
coleoptera_4,insect
coleoptera_5,insect
coleoptera_6,insect
coleoptera_7,insect
coleoptera_8,insect
coleoptera_9,insect
coptopterygidae_1,insect
coptopterygidae_3,insect
diptera_1,insect
diptera_2,insect
diptera_3,insect
diptera_4,insect
diptera_5,insect
diptera_6,insect
diptera_7,insect
hemiptera_1,insect
hemiptera_2,insect
hemiptera_3,insect
hemiptera_4,insect
hemiptera_5,insect
hemiptera_6,insect
hemiptera_7,insect
hemiptera_8,insect
hemiptera_9,insect
homoptera_1,insect
homoptera_2,insect
homoptera_3,insect
homoptera_4,insect
homoptera_5,insect
homoptera_6,insect
homoptera_7,insect
homoptera_8,insect
hymenoptera_1,insect
hymenoptera_2,insect
hymenoptera_3,insect
hymenoptera_4,insect
hymenoptera_5,insect
lepdoptera_1,insect
lepdoptera_10,insect
lepdoptera_11,insect
lepdoptera_2,insect
lepdoptera_3,insect
lepdoptera_4,insect
lepdoptera_5,insect
lepdoptera_6,insect
lepdoptera_7,insect
lepdoptera_8,insect
lepdoptera_9,insect
mantodea_1,insect
mantodea_2,insect
nabidae_1,insect
odonata_1,insect
orthoptera_1,insect
orthoptera_10,insect
orthoptera_11,insect
orthoptera_12,insect
orthoptera_13,insect
orthoptera_14,insect
orthoptera_15,insect
orthoptera_16,insect
orthoptera_17,insect
orthoptera_18,insect
orthoptera_19,insect
orthoptera_2,insect
orthoptera_20,insect
orthoptera_21,insect
orthoptera_22,insect
orthoptera_3,insect
orthoptera_4,insect
orthoptera_5,insect
orthoptera_6,insect
orthoptera_7,insect
orthoptera_8,insect
orthoptera_9,insect
phasmatodea_1,insect
phasmatodea_2,insect
phasmatodea_3,insect
photinaidae_1,insect
proscopiidae_1,insect
reduviidae_1,insect
reduviidae_2,insect
romaleidae_3,insect
tenebrionidae_1,insect
tettigoniidae_1,insect
tettigoniidae_2,insect
